sounds,instrument,technique
n_BKL_stac_mf1_C4.wav,bass_clarinet,staccato
n_Gtr-ord-C3-ff.wav,guitare,ordinario
n_TpC-flatt-C6-pp.wav,trumpet,flatterzunge
n_MA_ES_A-So_p_C4.wav,marimba,soft_stick
n_ASax-ord-C4-mf.wav,alto_saxophone,ordinario
n_Xyl_HO_p_C8.wav,xylophone,hard_stick
n_Vn-pizz_lv-C4-ff.wav,violin,pizzicato
n_Tbn-ord-C3-ff.wav,trombone,ordinario
n_Va-nonvib-C4-pp.wav,alto,non_vibrato
n_ClBb-flatt-C5-pp.wav,clarinet,flatterzunge
n_MA_ES_A-So_f_C6.wav,marimba,soft_stick
n_Gtr-ord-C5-ff.wav,guitare,ordinario
n_Cb-nonvib-C4-ff.wav,doublebass,non_vibrato
n_Vc-pizz_lv-C3-ff.wav,cello,pizzicato
n_Va-nonvib-C4-ff.wav,alto,non_vibrato
n_Va-pizz_lv-C4-ff.wav,alto,pizzicato
n_Fl-ord-C6-pp.wav,flute,ordinario
n_TpC-ord-C5-mf.wav,trumpet,ordinario
n_Vc-pizz_lv-C4-mf.wav,cello,pizzicato
n_Vn-ord-C7-ff.wav,violin,ordinario
n_ASax-flatt-C5-mf.wav,alto_saxophone,flatterzunge
n_Tbn+H-ord-C2-mf.wav,trombone,ordinario
n_Tbn-flatt-C4-ff.wav,trombone,flatterzunge
n_AFL-L_oV_pA_sus_f_C6.wav,alto_flute,ordinario
n_ClBb-ord-C4-pp.wav,clarinet,ordinario
n_Fl-aeolian+ord-C5-mf.wav,flute,semi_eolian
n_Bn-ord-C2-mf.wav,bassoon,ordinario
n_Fl-mul-A#4+_D5+-mf.wav,flute,multiphonic
n_Xyl_HO_f_C7.wav,xylophone,hard_stick
n_Vn-pont-C6-mf.wav,violin,sul_ponticello
n_Va-pizz_bartok-C3-ff.wav,alto,pizzicato_bartok
n_Va-harm_artificial-C7-mf.wav,alto,artificial_harmonic
n_ClBb-ord-C5-mf.wav,clarinet,ordinario
n_PFL_FLatter_f_C6.wav,piccolo_flute,flatterzunge
n_KFA-L_nA_sus_p_C2.wav,contrabassoon,ordinario
n_Bn-ord-C3-ff.wav,bassoon,ordinario
n_Gtr-ord-C4-pp.wav,guitare,ordinario
n_Vn-ord-C4-pp.wav,violin,ordinario
n_AFL_flatter_p_C6.wav,alto_flute,flatterzunge
n_Xyl_GA_f_C6.wav,xylophone,soft_stick
n_Fl-flatt-C5-mf.wav,flute,flatterzunge
n_Tbn-flatt-C3-pp.wav,trombone,flatterzunge
n_Vc-pizz_bartok-C4-ff-1c.wav,cello,pizzicato_bartok
n_Hp-ord-C2-ff.wav,harpa,ordinario
n_KFA-L_nA_sus_ff_C2.wav,contrabassoon,ordinario
n_Vib_ES_Ha_sp-0_f1_C6.wav,vibraphone,hard_stick
